guard,190317.688579,280154.702588,209316.183441
former employee,322432.850776,112683.029133,109460.286026
partner,185867.172607,136901.649499,244773.558858
san,149060.415727,65497.5853078,-22697.5568578
customer,254615.997063,124529.687866,156567.222729
laptop,185218.256718,159089.220155,133697.45221
dhcp,94695.0480941,76865.9788677,79854.618154
pbx,105221.139051,194974.546372,199558.551386
access reader,90564.3805724,88882.5810504,183815.126167
disk drive,165135.194572,187334.91183,156388.971688
flash drive,232057.481463,124010.810638,136294.300709
finance,53690.8711321,149134.634147,-4544.31311671
private wan,64469.867927,105739.040743,160569.936
peripheral,133295.425359,162218.204421,-10254.7586067
guard,110229.232661,79911.189441,95411.530762
disk media,147271.729628,158280.700464,118633.028913
smart card,63495.1625268,97473.4301872,213930.111998
cashier,311625.256915,137893.668083,91560.9107523
pos terminal,63401.4164432,116808.317666,127444.717332
camera,41986.3805021,49895.4776483,156920.478745
payment switch,193438.89832,35917.7188499,83135.6047288
camera,155513.451077,125259.822372,156467.615298
file,172773.857506,153771.24168,124759.716408
code repository,57343.903573,52622.218944,192083.870388
disk drive,214981.92153,112281.434636,87410.2670731
broadband,76712.0541825,124601.092744,114728.829846
executive,104266.368145,166677.478247,174222.556466
pos terminal,88449.2824308,131668.085006,52719.496616
laptop,23040.1604115,68963.2423306,248941.613738
file,107517.843769,92019.6576034,96615.2729473
smart card,28252.9817906,83273.2910142,119016.505348
executive,122297.695014,181413.46835,161514.220972
laptop,144101.067387,169121.953547,171931.96814
desktop,108493.134073,79654.8580431,-35794.483421
mainframe,135474.383146,281745.527845,43706.4305247
mail,163482.757759,113020.910523,90409.7370545
wlan,25897.6809801,187364.696851,202644.344425
camera,272761.926059,173223.248448,130634.453892
pos terminal,151219.521477,132223.339846,196916.49294
cashier,120607.460777,143253.117148,69785.0573178
mainframe,164769.900822,190964.102705,52691.9829487
desktop,123868.394967,244514.776189,202039.602326
lan,94437.3891024,190926.049268,175951.504873
kiosk,107343.873046,186638.432183,107720.393689
ped pad,225315.330215,205861.763937,102778.181551
disk drive,183813.078068,169969.796116,144426.472725
manager,55965.209736,58888.5899812,77576.8019723
maintenance,160513.397808,219151.187887,110774.784744
tapes,138858.17139,172805.673513,95527.80323
camera,80698.2741346,120524.56488,134391.459398
log,48916.677487,131318.475154,50526.7802736
gas terminal,258167.882999,160851.674621,18629.183066
flash drive,63746.845354,76194.5926316,17356.4059741
code repository,122106.556861,117694.738155,128968.368026
end-user,187425.42447,156669.29942,142312.873338
log,254393.185734,136575.756365,202353.23029
mainframe,86880.9633368,183859.127098,135527.539783
wlan,143725.835134,161463.811809,99913.2703603
human resources,202979.103072,140484.35045,177371.050271
ics,116899.093107,278378.793326,39173.6728311
lan,80934.9524426,160715.228538,103880.105453
broadband,136980.260926,76518.5244475,166271.276909
desktop,294646.106366,137234.71635,136458.985962
pos terminal,167083.868868,99867.0321578,208802.005284
former employee,177856.936461,124864.314068,43528.333911
broadband,83308.698311,104955.346647,118053.788924
media,189296.478091,50654.9964052,92787.6334259
pos controller,67092.260163,83702.286195,210545.21245
maintenance,155214.754921,139133.912812,275852.631025
public wan,124432.601246,157587.419617,132163.879336
firewall,96393.071909,82085.0507055,104216.854133
tapes,193007.136444,230411.135444,127147.631382
finance,130920.449875,200898.553892,109690.640154
human resources,71773.4322302,22144.3811737,98967.7473091
helpdesk,28865.9810417,197877.036598,90447.181408
former employee,165048.193544,102982.308066,-272.193946966
dhcp,143833.82919,36332.2408144,146988.406623
pbx,47654.6117037,173450.070366,79980.1208504
public wan,86201.7858969,91841.3251698,169196.351011
private wan,121102.972166,107109.557799,241117.242606
kiosk,219714.297864,109545.515175,165194.357366
wlan,87961.8190765,210819.797057,188058.047823
human resources,151028.342865,106656.290366,87292.7993319
san,146726.511535,3881.69630168,66923.0457849
disk drive,134712.86629,101635.131174,118069.599535
remote access,220675.962678,-1001.81554018,26103.3917011
laptop,89491.6375568,97525.8364653,60613.5481824
pbx,81685.4083272,113013.726794,189215.518083
pos terminal,92188.8146235,33833.037377,164514.644502
cashier,93839.2300214,142235.289391,158402.358282
laptop,177330.963398,191320.190947,204092.190033
private wan,158336.01314,151878.872931,143421.006975
pos controller,114210.690399,180970.530878,167367.771012
dhcp,105167.881416,163938.282541,63425.8980531
payment card,178655.109426,142020.026523,173851.028917
code repository,209047.416823,103407.920514,114623.398672
dhcp,144393.315634,67329.3337108,146311.213577
smart card,125232.272906,210824.427865,141562.063099
finance,152964.397837,149652.581276,136468.910439
end-user,146290.538697,121648.608846,56212.5424462
database,138254.468239,156911.259584,15232.4955998
disk media,124653.029115,77732.4918851,123360.376464
file,97196.6502776,110973.227079,82787.5701903
human resources,143091.962287,137208.313373,97184.4024239
private wan,84972.6174684,26744.9563725,128297.629361
executive,181636.784075,109183.68405,63860.921105
helpdesk,252271.246959,184390.872824,105780.558563
finance,77533.9235242,263479.758273,139609.290595
payment card,246387.0624,163022.413291,118643.922634
ped pad,114721.386493,210695.55762,119757.374531
disk media,218555.406932,120018.513793,98314.5226009
tablet,108574.984673,104755.904288,78760.981379
router or switch,129454.831589,-41044.672262,262003.019222
helpdesk,195568.837776,136991.338391,131316.366759
desktop,178671.332645,130507.65074,180763.35954
manager,201128.925949,134248.890204,101745.902287
web application,20127.6331514,116587.648744,101497.123308
public wan,179308.349543,109604.720016,210903.226464
developer,106755.767711,102749.205141,52591.8258495
ped pad,68757.7734073,184311.682034,145405.017486
firewall,130323.284656,152235.734206,161175.765006
call center,175507.695325,258217.926303,141258.792631
helpdesk,176483.871482,284705.101785,114104.000128
laptop,184183.500701,4172.52065279,99362.6484937
file,60141.8016813,170633.205747,70041.1533504
human resources,100364.733502,37907.4342327,151382.511324
guard,193276.109853,98450.4226603,69890.2459019
human resources,154731.431018,34669.7116566,234568.447439
executive,98919.7222243,120065.98327,91706.5316798
disk drive,178339.428827,160450.791901,168254.923851
human resources,133440.390306,147221.436231,179805.054899
helpdesk,64652.3625051,116625.856096,150609.417261
finance,115745.110711,225315.613637,134068.435258
peripheral,120591.318687,125838.961128,151548.066787
developer,87363.1812795,95751.0356519,146967.792648
dns,107684.211233,34301.4140539,76936.4465503
end-user,66393.6814388,158774.540178,189285.87379
pbx,145009.694292,124321.930454,155068.430559
desktop,57095.0350767,126273.713873,75708.9000649
ics,219236.628013,144867.390914,132716.523032
file,185337.214548,-47636.6221942,126497.632833
finance,152079.379192,151781.867623,61897.0080804
directory,82245.078934,19140.9838983,185480.928378
developer,159349.100699,198307.788579,194684.775579
database,73291.432199,35810.8109854,167119.273575
system admin,117337.715345,94719.0093832,141756.944531
maintenance,120658.22481,82775.7811325,96727.8743162
remote access,94837.3521911,-5951.26727221,143717.150712
payment card,174138.277622,167943.951156,99270.146844
backup,164246.416807,215510.222731,108324.814225
dns,99220.8481891,110634.334667,87746.9388734
wlan,229796.889167,103918.217377,122769.125896
cashier,125788.68713,80867.9626013,233431.369411
tapes,97275.281091,140182.521607,80922.2964556
telephone,117797.312688,203499.228544,55407.3690833
kiosk,87656.351595,109683.131176,68514.0671085
firewall,123024.474845,135754.585533,110063.625718
smart card,56076.167384,-9928.12355463,139232.71451
flash drive,32884.6879596,168454.162044,134542.160209
media,107672.185465,50592.9257368,184242.608854
access reader,82863.7840031,198605.934936,97117.9678133
public wan,108178.045485,158049.263073,151364.886379
database,69247.3700636,59204.3096086,79238.5107204
partner,115342.304426,91378.4789844,121723.113493
maintenance,160217.252734,69820.9926758,31376.2108521
telephone,50686.2165241,110785.991565,140540.128538
ics,121359.699914,181531.847569,103872.80127
tapes,216725.514121,116095.105566,132242.695649
wlan,142466.292033,8010.32211584,105604.736534
firewall,89438.9102837,157393.247519,77974.8292919
flash drive,258153.058376,142430.27826,192744.530772
